index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
1,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1,Sanofi,0,1,0,1,Non-US public S,NA,52.5,NA,NA,USD_per_share,NA,Informal,2016-04-15,NA,NA,1,"Letter dated April 13, 2016; received April 15 (receipt date per §B5). Sanofi CEO letter to Medivation CEO. Unsolicited approach.",NA,NA,Non-binding proposal ($52.50/share) sent before NDA; pre-NDA price indication per §C4. Sanofi later signed NDA on 2016-07-05 continuing in the process.,[info:pre_nda_informal_bid] Sanofi communicated $52.50/share concrete price indication on 2016-04-15 before signing NDA; NDA executed 2016-07-05. Per §C4.,24,"On April 15, 2016, Dr. David Hung, President and CEO of Medivation, received a letter dated April 13, 2016 from the Chief Executive Officer of Sanofi, setting forth a non-binding proposal to acquire Medivation for $52.50 per share."
2,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,2,Pfizer,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2016-04-20,NA,Bidder Interest,1,Pfizer's Giordano attempted contact by phone and email to propose a discussion; no concrete acquisition proposal or price stated.,NA,NA,NA,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Pfizer Inc.' for 'bidder_02' not in aliases_observed=['Pfizer'],25,"On April 20, 2016, Douglas Giordano, Senior Vice President, Worldwide Business Development at Pfizer, attempted to contact Dr. Hung by phone and by email to propose a discussion among the two and Albert Bourla, Group President of Pfizer Innovative Health."
3,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,3,Sanofi,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2016-04-28,NA,Bid Press Release,1,Public announcement of Sanofi's non-binding $52.50/share proposal.,NA,NA,NA,NA,25,"Sanofi’s proposal was publicly announced on April 28, 2016 and unanimously rejected by Medivation’s Board of Directors on April 29, 2016."
4,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,4,Centerview Partners LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-11,first narrated action: 2016-05-11 Centerview contacted Medivation FAs,IB,1,Financial advisor to Pfizer. Retention date not narrated; first action date used per §J1.,NA,NA,NA,[soft:date_inferred_from_context] filing does not narrate retention date; inferred from first narrated action on 2016-05-11,25,"On May 11, 2016, representatives of Centerview Partners LLC (“Centerview”), a financial advisor to Pfizer, contacted representatives of J.P. Morgan Securities LLC (“J.P. Morgan”) and Evercore Group L.L.C. (“Evercore”), financial advisors to Medivation, regarding Pfizer’s potential strategic interest in Medivation."
5,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,5,J.P. Morgan Securities LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-11,first narrated action: 2016-05-11 J.P. Morgan acted as Medivation FA,IB,1,Financial advisor to Medivation. Retention date not narrated; first action date used per §J1.,NA,NA,NA,[soft:date_inferred_from_context] filing does not narrate retention date; inferred from first narrated action on 2016-05-11,25,"On May 11, 2016, representatives of Centerview Partners LLC (“Centerview”), a financial advisor to Pfizer, contacted representatives of J.P. Morgan Securities LLC (“J.P. Morgan”) and Evercore Group L.L.C. (“Evercore”), financial advisors to Medivation, regarding Pfizer’s potential strategic interest in Medivation."
6,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,6,Evercore Group L.L.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-11,first narrated action: 2016-05-11 Evercore acted as Medivation FA,IB,1,Financial advisor to Medivation. Retention date not narrated; first action date used per §J1.,NA,NA,NA,[soft:date_inferred_from_context] filing does not narrate retention date; inferred from first narrated action on 2016-05-11,25,"On May 11, 2016, representatives of Centerview Partners LLC (“Centerview”), a financial advisor to Pfizer, contacted representatives of J.P. Morgan Securities LLC (“J.P. Morgan”) and Evercore Group L.L.C. (“Evercore”), financial advisors to Medivation, regarding Pfizer’s potential strategic interest in Medivation."
7,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,7,Pfizer,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2016-06-29,NA,NDA,1,Confidentiality and standstill agreement. Medivation also invited Pfizer to participate in potential sale process.,NA,NA,NA,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Pfizer Inc.' for 'bidder_02' not in aliases_observed=['Pfizer'],25,"On June 29, 2016, Pfizer executed a confidentiality and standstill agreement with Medivation, and Medivation invited Pfizer to participate in a potential sale process."
8,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05,NA,Sale Press Release,1,"Medivation press release announcing entry into confidentiality agreements with several parties including Sanofi, and Sanofi’s withdrawal of consent solicitation.",NA,NA,NA,NA,25,"On July 5, 2016, Medivation issued a press release announcing that it had entered into confidentiality agreements with several parties, including Sanofi, and that Sanofi had agreed to withdraw its consent solicitation."
9,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,9,Sanofi,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2016-07-05,first narration: 2016-07-05 press release announcing Sanofi NDA,NDA,1,Sanofi named as one of the “several parties” in the July 5 press release. Exact date of NDA execution not separately narrated; anchored to press release date.,NA,NA,NA,[soft:date_inferred_from_context] exact NDA execution date not narrated; anchored to July 5 press release announcing NDA with Sanofi | [soft:nda_without_bid_or_drop] bidder_name='bidder_01' signed NDA at row 8 but no follow-up (bid/drop/executed) was extracted,25,"On July 5, 2016, Medivation issued a press release announcing that it had entered into confidentiality agreements with several parties, including Sanofi, and that Sanofi had agreed to withdraw its consent solicitation."
10,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,10,Strategic 1,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-07-05,NA,NDA,1,§E5 unnamed placeholder. Filing states “several parties” signed NDAs (“several” = minimum 3 per §E5); Sanofi and Pfizer are named; this is unnamed placeholder 1 for the balance.,NA,NA,NA,[info:unnamed_count_placeholder] Filing states “several parties” (minimum 3 per §E5); Sanofi + Pfizer already identified; this is unnamed placeholder 1 for additional NDA signers | [soft:bidder_type_ambiguous] bidder_type defaulted to strategic based on context (strategic acquirers in pharma); identity not disclosed in filing | [soft:nda_without_bid_or_drop] bidder_name='bidder_06' signed NDA at row 9 but no follow-up (bid/drop/executed) was extracted,25,"On July 5, 2016, Medivation issued a press release announcing that it had entered into confidentiality agreements with several parties, including Sanofi, and that Sanofi had agreed to withdraw its consent solicitation."
11,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,11,Strategic 2,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-07-05,NA,NDA,1,§E5 unnamed placeholder. Filing states “several parties” signed NDAs (“several” = minimum 3 per §E5); this is unnamed placeholder 2 for the balance.,NA,NA,NA,[info:unnamed_count_placeholder] Filing states “several parties” (minimum 3 per §E5); Sanofi + Pfizer already identified; this is unnamed placeholder 2 for additional NDA signers | [soft:bidder_type_ambiguous] bidder_type defaulted to strategic based on context; identity not disclosed in filing | [soft:nda_without_bid_or_drop] bidder_name='bidder_07' signed NDA at row 10 but no follow-up (bid/drop/executed) was extracted,25,"On July 5, 2016, Medivation issued a press release announcing that it had entered into confidentiality agreements with several parties, including Sanofi, and that Sanofi had agreed to withdraw its consent solicitation."
12,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,12,"Guggenheim Securities, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-09,"July 7 through July 11, 2016",IB,1,Financial advisor to Pfizer. First narrated as acting in advisory capacity during July 7–11 period. Date range collapsed to midpoint (July 9) per §B4.,NA,NA,NA,"[info:date_range_collapsed] phrase: 'July 7 through July 11, 2016'; midpoint: 2016-07-09",25,"On July 7 through July 11, 2016, representatives of Pfizer, Guggenheim Securities, LLC (“Guggenheim”), a financial advisor to Pfizer, and Centerview had discussions by telephone with representatives of Evercore and J.P. Morgan regarding the due diligence process."
13,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-19,NA,Final Round Inf Ann,1,"J.P. Morgan and Evercore sent letter to Pfizer requesting submission of written non-binding preliminary proposal by August 8, 2016. Filing notes that a limited number of qualified parties may be invited to further discussions after this round.",NA,NA,NA,[info:final_round_inferred] no explicit ‘final round’ phrase; inferred from J.P. Morgan/Evercore letter requesting written non-binding preliminary proposal with deadline — an informal round process letter,26,"On July 19, 2016, representatives of J.P. Morgan and Evercore sent a letter to representatives of Pfizer requesting that Pfizer submit a written, non-binding preliminary proposal for an acquisition of Medivation on August 8, 2016."
14,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,14,Pfizer,0,1,0,0,public S,NA,65.0,NA,NA,USD_per_share,NA,Informal,2016-08-08,NA,NA,1,The “August 8 Proposal”. Pfizer stated it expected to complete due diligence and sign a definitive agreement in approximately one week.,NA,NA,Filing states “non-binding preliminary proposal” — explicit informal trigger per §G1 (“non-binding”). Submitted in response to July 19 process letter requesting non-binding proposal. Also subject to “satisfactory completion of Pfizer’s due diligence.”,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Pfizer Inc.' for 'bidder_02' not in aliases_observed=['Pfizer'],26,"On August 8, 2016, Pfizer submitted a non-binding preliminary proposal to Medivation (the “August 8 Proposal”), subject to, among other conditions, satisfactory completion of Pfizer’s due diligence, to acquire Medivation for cash consideration of $65.00 per Share."
15,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-08,NA,Final Round Inf,1,Informal round submission deadline (August 8) as stated in July 19 process letter.,NA,NA,NA,[info:final_round_inferred] no explicit ‘Final Round Inf’ language; inferred from August 8 deadline of informal process letter sent July 19,26,"On August 8, 2016, Pfizer submitted a non-binding preliminary proposal to Medivation (the “August 8 Proposal”), subject to, among other conditions, satisfactory completion of Pfizer’s due diligence, to acquire Medivation for cash consideration of $65.00 per Share."
16,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-10,NA,Final Round Ann,1,"Medivation invited Pfizer and “several other interested parties” to subsequent (formal) round. Formal process letter with deadlines sent August 14 by J.P. Morgan/Evercore (mark-up by Aug 18, definitive proposal by Aug 19). Per §K2, anchored on earlier invitation date (August 10).",NA,NA,NA,"[info:final_round_inferred] no explicit ‘final round’ phrase; inferred from subset-invitation language. Per §K2 anchored to Aug 10 invitation; Aug 14 process letter set deadlines (mark-up Aug 18, definitive proposal Aug 19)",26,"On August 10, 2016, Medivation notified Pfizer that it was inviting Pfizer to a subsequent round of the potential sale process, together with several other interested parties."
17,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,17,Pfizer,0,1,0,0,public S,NA,77.0,NA,NA,USD_per_share,NA,Formal,2016-08-19,NA,NA,1,NA,NA,NA,Submitted in response to Aug 14 formal process letter requesting “definitive proposal” and mark-up of Merger Agreement by Aug 19 — process-letter formal trigger per §G1. Filing describes as “revised written proposal” in context of definitive-agreement negotiations.,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Pfizer Inc.' for 'bidder_02' not in aliases_observed=['Pfizer'],27,"On August 19, 2016, Pfizer submitted a revised written proposal to acquire Medivation for cash consideration of $77.00 per Share."
18,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-19,NA,Final Round,1,August 19 was the deadline for definitive proposals as set by the August 14 formal process letter.,NA,NA,NA,[info:final_round_inferred] no explicit ‘Final Round’ label; inferred from Aug 14 formal process letter deadline of Aug 19 for definitive proposals,26,"On August 14, 2016, representatives of J.P. Morgan and Evercore sent a letter to Pfizer, requesting that Pfizer provide to Medivation a mark-up of the Merger Agreement on August 18, 2016 and a definitive proposal to acquire Medivation on August 19, 2016."
19,"Medivation, Inc.",164266,2953946020,Pfizer Inc.,8530,2016-08-22,NA,2016-08-30,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,19,Pfizer,0,1,0,0,public S,NA,81.5,NA,NA,USD_per_share,NA,Formal,2016-08-20,NA,NA,1,Pfizer’s “best and final” proposal. Medivation’s closing share price on August 19 was $67.16.,NA,NA,Explicit “best and final” offer per §G1 formal trigger (“final bid” / “best and final”). Submitted following a written request by J.P. Morgan and Evercore for Pfizer’s best and final proposal by afternoon of August 20.,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Pfizer Inc.' for 'bidder_02' not in aliases_observed=['Pfizer'],27,"Following a written request by J.P. Morgan and Evercore to provide Pfizer’s “best and final” proposal by the afternoon of August 20, 2016, Pfizer communicated a “best and final” proposal to acquire Medivation for cash consideration of $81.50 per Share on August 20, 2016."
