xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6076,6059.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.5,Thoma Bravo,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2016-03-09 00:00:00,2016-01-31 00:00:00,Bidder Interest,NA,NA,NA,,Confirmatory DD <=30 days,
6077,6059.7,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.7,Thoma Bravo,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2016-03-09 00:00:00,2016-03-09 00:00:00,Bidder Sale,NA,NA,NA,,Confirmatory DD <=30 days,
6078,6060,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,1,Thoma Bravo,1,0,0,0,F,15,15,15,15,dollar,1,Informal,2016-03-09 00:00:00,2016-03-09 00:00:00,NA,1,NA,NA,,Confirmatory DD <=30 days,
6079,6060.5,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,1.5,Barclays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-09 00:00:00,2016-04-15 00:00:00,IB,NA,NA,NA,Legal counsel: Goodwin,,
6080,6061,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,2,Strategic 1,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,Telecom company. bid_date is 5/6-6/9. How to record this?,These parties were selected based on their experience and interest in the security and/or healthcare technology and information services industries and likely capability to execute and finance such a transaction on an expeditious basis.,
6081,6062,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,3,Strategic 2,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,Software company,"In particular, the Board discussed the potential disruptions to the Company’s business during a protracted process, the risk of leaks that might arise from contacting other parties, and the potential impact of such leaks on the Company’s business, including the potential loss of customers and employees.",
6082,6063,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,4,Strategic 3,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,Software company,The Board also discussed the potential need to disclose during such process proprietary and confidential information to competitors and potential competitors.,
6083,6064,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,5,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,,,
6084,6065,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,6,Sponsor B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,,,
6085,6066,IMPRIVATA INC,20884,2983283020,"THOMA BRAVO, LLC",NA,2016-07-13 00:00:00,2016-09-16 00:00:00,2016-08-10 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,7,Another financial sponsor,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-06 00:00:00,NDA,NA,NA,NA,,,
