Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
23,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.3,Thoma Bravo,1,,,,F,,,,,$/share,1,,,01/01/2015,Bidder Interest,,,,"In early 2015, representatives of Thoma Bravo informally approached the Company and expressed potential interest; no specific proposal was made.",,
24,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.5,Thoma Bravo,1,,,,F,,,,,$/share,1,,,06/15/2015,Bidder Interest,,,,"In June 2015, representatives of Thoma Bravo again informally approached the Company and expressed potential interest; no specific proposal was made.",,
25,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.7,Thoma Bravo,1,,,,F,,,,,$/share,1,,,01/15/2016,Bidder Interest,,,,"At an industry conference in January 2016, Thoma Bravo reiterated interest in a potential transaction; no specific proposal was made.",,
26,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.8,Thoma Bravo,1,,,,F,,,,,$/share,1,,03/09/2016,,Bidder Sale,,,,"Sent unsolicited, non-binding indication of interest letter to the Board.",,
27,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.9,Thoma Bravo,1,,,,F,15,15,15,15,$/share,1,Informal,03/09/2016,,,True,,,Unsolicited non-binding IOI; stated it had conducted extensive diligence based on public filings.,Said it was prepared to finance the transaction entirely with equity and could complete confirmatory diligence and execute a definitive merger agreement in 30 days or less.,
28,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,0.95,Barclays,,,,,,,,,,$/share,1,,04/19/2016,,IB,,,,"Company countersigned engagement letter with Barclays dated April 15, 2016. Legal advisor: Goodwin Procter LLP.",,
29,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,1,NA,,,,,,,,,,$/share,1,,05/05/2016,,Target Sale,,,,Board determined it was in the best interests of the Company and its stockholders to further explore a potential business combination transaction and approved contacting 15 parties as part of the strategic process.,,
30,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,2,Thoma Bravo,1,,,,F,,,,,$/share,1,,05/10/2016,,NDA,,,,Executed confidentiality agreement with the Company.,,
31,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,3,Strategic 1,,1,,,S,,,,,$/share,1,,,05/15/2016,NDA,,,,"Executed confidentiality agreement during the May 6 through June 9, 2016 outreach period; specific date not disclosed.",,
32,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,4,Strategic 2,,1,,,S,,,,,$/share,1,,,05/15/2016,NDA,,,,"Executed confidentiality agreement during the May 6 through June 9, 2016 outreach period; specific date not disclosed.",,
33,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,5,Strategic 3,,1,,,S,,,,,$/share,1,,,05/15/2016,NDA,,,,"Executed confidentiality agreement during the May 6 through June 9, 2016 outreach period; specific date not disclosed.",,
34,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,6,Sponsor A,1,,,,F,,,,,$/share,1,,,05/15/2016,NDA,,,,"Executed confidentiality agreement during the May 6 through June 9, 2016 outreach period; specific date not disclosed.",,
35,IMPRIVATA INC,,,"THOMA BRAVO, LLC",,07/13/2016,,,,https://www.sec.gov/Archives/edgar/data/1328015/0001193125-16-677939-index.htm,1,7,Sponsor B,1,,,,F,,,,,$/share,1,,,05/15/2016,NDA,,,,"Executed confidentiality agreement during the May 6 through June 9, 2016 outreach period; specific date not disclosed.",,
