xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6927,6878.5,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,0.5,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-05 00:00:00,IB,NA,NA,NA,,,
6928,6878.7,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,0.7,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-08 00:00:00,Target Interest,NA,NA,NA,"Not an official sale, but T approached Party A",,
6929,6878.8,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,0.8,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-15 00:00:00,IB Terminated,NA,NA,NA,,,
6930,6878.9,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,0.9,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-31 00:00:00,IB,NA,NA,NA,Sale process discussed since May 9; BofA offered some valuations on May 30 before being reemgaged as IB,,
6931,6878.95,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,0.95,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-06-21 00:00:00,2013-06-21 00:00:00,Bidder Sale,NA,NA,NA,,,
6932,6879,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,1,Party A,0,1,0,0,S,17,17,17,19,dollar,1,Informal,2013-06-21 00:00:00,2013-06-21 00:00:00,NA,1,NA,NA,,,
6933,6879.5,MAC GRAY CORP,65630,2575867020,"CSC SERVICEWORKS, INC.",NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-24 00:00:00,Final Round Inf Ann,NA,NA,NA,,,
6934,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,2,16 financial bidders,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,NA,2013-07-15 00:00:00,NDA,NA,NA,NA,,,
6935,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,3,Party B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-06-28 00:00:00,2013-06-28 00:00:00,NDA,NA,NA,NA,,,
6936,6879,MAC GRAY CORP,65630,2575867020,CSC purchased by Pamplona in May/2013,NA,2013-10-15 00:00:00,2014-01-09 00:00:00,2013-12-04 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,4,Party C,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-06-20 00:00:00,2013-06-30 00:00:00,NDA,NA,NA,NA,,,
