index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
184,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,1,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-10-23,NA,IB,1,2011-2012 Discussions engagement,NA,NA,NA,NA,33,"Mac-Gray engaged BofA Merrill Lynch on October 23, 2012. During the fall and winter of 2012, CSC engaged in a sale process and, ultimately, CSC was purchased by Pamplona in May 2013."
185,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-05,NA,Target Sale,1,Board authorized management to work with BofA Merrill Lynch to explore transactional opportunities,NA,NA,NA,NA,33,"at an in-person meeting of the Board on April 5, 2013, the Board discussed the sale of CSC to Pamplona as well as industry-wide merger and acquisition activity and dynamics, and authorized Mac-Gray management to work with BofA Merrill Lynch to explore transactional opportunities that might be available to Mac-Gray, including opportunities with another strategic party, whom we refer to as Party A, in the laundry facilities management industry."
186,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,3,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-08,NA,Target Interest,1,"BofA Merrill Lynch, as instructed by the Board, telephoned Party A; Party A indicated it might consider a business combination",NA,NA,NA,[soft:bidder_type_ambiguous] Filing describes Party A as 'another strategic party in the laundry facilities management industry' - consistent with strategic classification; public status unknown from filing,33,"On April 8, 2013, representatives of BofA Merrill Lynch, as instructed by the Board, telephoned a representative of Party A to discuss generally a possible business combination between Party A and Mac-Gray. During this call, the representative of Party A indicated that Party A might consider a business combination with Mac-Gray."
187,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,4,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-15,NA,IB Terminated,1,Termination of 2011-2012 Discussions engagement,NA,NA,NA,NA,35,"On May 15, 2013, Mac-Gray sent a letter to BofA Merrill Lynch terminating their engagement in connection with the 2011-2012 Discussions."
188,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,5,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-31,NA,IB,1,Re-engagement for new strategic alternatives review and potential sale process,NA,NA,NA,NA,36,"On May 31, 2013, Mac-Gray entered into an engagement letter with BofA Merrill Lynch with respect to the Board's undertaking a review of strategic alternatives, including a potential sale process, and in which BofA Merrill Lynch agreed not to engage as a possible source of new acquisition financing for any potential buyers in connection with any such sale process without Mac-Gray's prior written consent."
189,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,6,Party A,0,1,0,0,S,NA,NA,17.0,19.0,USD_per_share,NA,Informal,2013-06-21,NA,NA,1,"Unsolicited proposal; all-cash $17.00-$19.00/share; submitted before NDA (NDA signed Aug 5, 2013)",NA,NA,NA,"[info:pre_nda_informal_bid] Party A submitted unsolicited $17-19/share proposal June 21, 2013; NDA not executed until August 5, 2013",36,"On June 21, 2013, Party A submitted an unsolicited proposal to the Mac-Gray Board of Directors offering to purchase Mac-Gray for an all-cash purchase price of $17.00 to $19.00 per share, which we refer to as the Party A June 21 proposal."
190,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,7,Party B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-06-28,NA,NDA,1,NA,NA,NA,NA,[soft:bidder_type_ambiguous] Filing describes Party B as a 'financial bidder' - classified as f; filing later notes 'equity from affiliated funds and third party debt' consistent with PE firm,38,"Later on June 28, 2013, Party B, entered into a confidentiality and standstill agreement with Mac-Gray and was provided with an informational package for the purpose of providing Party B with data to formulate a preliminary indication of interest."
191,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,8,Party C,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-06-30,NA,NDA,1,NA,NA,NA,NA,[soft:bidder_type_ambiguous] Filing describes Party C as a 'financial bidder' - classified as f; public status unknown,38,"On June 30, 2013, Party C entered into a confidentiality and standstill agreement with Mac-Gray and was provided with an informational package for the purpose of providing Party C with data to formulate a preliminary indication of interest."
192,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,9,CSC/Pamplona,0,0,1,0,mixed,NA,NA,NA,NA,NA,NA,NA,2013-07-11,NA,NDA,1,Consortium NDA: CSC (portfolio company of Pamplona PE); joint bidder,NA,NA,NA,"[info:joint_nda_aggregated] Filing narrates NDA as single consortium event; bidder_alias=CSC/Pamplona | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='CSC ServiceWorks, Inc. / Pamplona Capital Management' for 'bidder_03' not in aliases_observed=['CSC and Pamplona', 'CSC/Pamplona']",39,"On July 11, 2013, CSC/Pamplona entered into a confidentiality and standstill agreement with Mac-Gray and were provided with an informational package for the purpose of providing CSC/Pamplona with data to formulate a preliminary indication of interest."
193,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,10,CSC/Pamplona,0,0,1,0,mixed,NA,18.5,NA,NA,USD_per_share,NA,Informal,2013-07-23,NA,NA,1,Preliminary indication of interest; all-cash,NA,NA,Informal per §G1: filed as 'preliminary indication of interest' per process letter solicitation; non-binding exploratory stage before any formal round announcement,"[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='CSC ServiceWorks, Inc. / Pamplona Capital Management' for 'bidder_03' not in aliases_observed=['CSC and Pamplona', 'CSC/Pamplona']",39,"On July 23, 2013, CSC/Pamplona submitted a preliminary indication of interest at an all-cash purchase price of $18.50 per share."
194,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,11,Financial 1,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-07-24,"over the next two months (after June 24, 2013 Special Committee meeting)",NDA,1,NA,NA,NA,NA,[soft:date_inferred_from_context] Individual NDA date not narrated; 16 unnamed financial bidders signed 'over the next two months' after June 24 SC meeting; midpoint ≈ July 24 | [info:unnamed_count_placeholder] 16 unnamed financial NDA signers (18 financial total minus Party B and Party C); placeholder 1 of 16 | [soft:nda_without_bid_or_drop] bidder_name='bidder_06' signed NDA at row 10 but no follow-up (bid/drop/executed) was extracted,38,"Over the next two months a total of 20 potential bidders, including two strategic bidders (Party A and CSC/Pamplona) and 18 financial bidders (including Party B and Party C), entered into confidentiality agreements with Mac-Gray on a form provided by Mac-Gray"
195,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,12,Financial 2,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-07-24,"over the next two months (after June 24, 2013 Special Committee meeting)",NDA,1,NA,NA,NA,NA,[soft:date_inferred_from_context] Individual NDA date not narrated; 16 unnamed financial bidders signed 'over the next two months' after June 24 SC meeting; midpoint ≈ July 24 | [info:unnamed_count_placeholder] Placeholder 2 of 16 | [soft:nda_without_bid_or_drop] bidder_name='bidder_07' signed NDA at row 11 but no follow-up (bid/drop/executed) was extracted,38,"Over the next two months a total of 20 potential bidders, including two strategic bidders (Party A and CSC/Pamplona) and 18 financial bidders (including Party B and Party C), entered into confidentiality agreements with Mac-Gray on a form provided by Mac-Gray"
196,MAC-GRAY CORPORATION,65630,2575867020,"CSC ServiceWorks, Inc.",NA,2013-10-15,NA,2013-12-04,DEFM14A,https://www.sec.gov/Archives/edgar/data/1038280/0001047469-13-010973-index.htm,1,13,Financial 3,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-07-24,"over the next two months (after June 24, 2013 Special Committee meeting)",NDA,1,NA,NA,NA,NA,[soft:date_inferred_from_context] Individual NDA date not narrated; placeholder 3 of 16 | [info:unnamed_count_placeholder] Placeholder 3 of 16 | [soft:nda_without_bid_or_drop] bidder_name='bidder_08' signed NDA at row 12 but no follow-up (bid/drop/executed) was extracted,38,"Over the next two months a total of 20 potential bidders, including two strategic bidders (Party A and CSC/Pamplona) and 18 financial bidders (including Party B and Party C), entered into confidentiality agreements with Mac-Gray on a form provided by Mac-Gray"
