xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6060,6050.7,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.7,Sanofi,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2016-04-13 00:00:00,2016-04-13 00:00:00,Bidder Sale,NA,NA,NA,,,
6061,6051,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1,Sanofi,0,1,0,1,Non-US public S,52.5,52.5,52.5,52.5,dollar,1,Informal,2016-04-13 00:00:00,2016-04-13 00:00:00,NA,NA,NA,164234000,,,
6062,6051.3,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-13 00:00:00,2016-04-28 00:00:00,Bid Press Release,NA,NA,NA,,,
6063,6051.5,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1.5,J.P. Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-29 00:00:00,2016-05-02 00:00:00,IB,NA,NA,NA,Legal advisor: Cooley. May 2: Pfizer's contact that was viewed well by the target. No mention of the IB engagement earlier,,
6064,6052,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,2,Pfizer,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-06-29 00:00:00,2016-06-29 00:00:00,NDA,NA,NA,165007000,,,
6065,6053,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,3,"Several parties, including Sanofi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-05 00:00:00,NDA,NA,NA,165007000,,,
6066,6053.5,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-07-19 00:00:00,Final Round Inf Ann,NA,NA,NA,,,
6067,6054,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,4,Pfizer,0,1,0,0,S,65,65,65,65,dollar,1,Informal,2016-08-08 00:00:00,2016-08-08 00:00:00,NA,1,NA,165007000,,DD 1 week,
6068,6053.5,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-08-08 00:00:00,Final Round Inf,NA,NA,NA,,,
6069,6053.7,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-08-10 00:00:00,Final Round Ann,NA,NA,NA,(Pfizer + several other parties); [SEVERAL: at least 3?],,
6070,6055,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-14 00:00:00,2016-08-14 00:00:00,Final Round,NA,NA,NA,,,
6071,6056,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,6,Pfizer,0,1,0,0,S,77,77,77,77,dollar,1,Formal,2016-08-19 00:00:00,2016-08-19 00:00:00,NA,1,NA,165929000,,,
6072,6057,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,7,Pfizer,0,1,0,0,S,81.5,81.5,81.5,81.5,dollar,1,Formal,2016-08-20 00:00:00,2016-08-20 00:00:00,NA,1,NA,NA,,,
6073,6057.5,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,7.5,Pfizer,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,Executed,NA ,NA,NA,,,
6074,6058,MEDIVATION INC,164266,2953946020,PFIZER INC,8530,2016-08-22 00:00:00,2016-09-28 00:00:00,2016-08-30 00:00:00,SC TO-T,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,8,Sanofi,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2016-08-20 00:00:00,2016-08-20 00:00:00,Drop,NA,NA,NA,,,
