Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
1,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.7,Sanofi,,1,,1,non-US S,,,,,$/share,1,,04/15/2016,,Bidder Sale,,,,"Dr. David Hung received a letter dated April 13, 2016 from the Chief Executive Officer of Sanofi.",,
2,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.8,Sanofi,,1,,1,non-US S,52.5,52.5,52.5,52.5,$/share,1,Informal,04/15/2016,,,,,,Non-binding proposal.,,
3,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.9,NA,,,,,,,,,,$/share,1,,04/28/2016,,Bid Press Release,,,,Sanofi's proposal was publicly announced.,,
4,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.95,Pfizer,,1,,,public S,,,,,$/share,1,,05/02/2016,,Bidder Interest,,,,"Pfizer expressed interest in a possible transaction when, and if, Medivation decided to pursue such a transaction.",This followed Pfizer's April 20 outreach attempt.,
5,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.96,Pfizer,,1,,,public S,,,,,$/share,1,,05/20/2016,,Bidder Interest,,,,Mr. Giordano highlighted Pfizer's complementary oncology focus and reiterated Pfizer's interest in pursuing a negotiated transaction with Medivation when and if Medivation and its Board of Directors decided to pursue such a transaction.,,
6,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,0.97,Pfizer,,1,,,public S,,,,,$/share,1,,06/28/2016,,Target Interest,,,,"Representatives of J.P. Morgan and Evercore contacted Mr. Giordano to discuss providing Pfizer with confidential information, subject to execution of a confidentiality and standstill agreement.",,
7,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1,Pfizer,,1,,,public S,,,,,$/share,1,,06/29/2016,,NDA,,,,Confidentiality and standstill agreement.,Medivation invited Pfizer to participate in a potential sale process.,
8,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1.1,Sanofi,,1,,1,non-US S,,,,,$/share,1,,,07/05/2016,NDA,,,,"Medivation's July 5, 2016 press release stated it had entered into confidentiality agreements with several parties, including Sanofi.",Exact execution date not disclosed.,
9,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1.15,Sanofi,,1,,1,non-US S,,,,,$/share,1,,,07/05/2016,Drop,,,,"On July 5, 2016, Medivation announced that Sanofi had agreed to withdraw its consent solicitation.",The same announcement stated that Medivation had entered into a confidentiality agreement with Sanofi.,No terminal price or valuation comparison was disclosed in this announcement.
10,MEDIVATION INC,,,PFIZER INC.,,08/22/2016,,,,https://www.sec.gov/Archives/edgar/data/1011835/0001193125-16-696889-index.htm,1,1.2,NA,,,,,,,,,,$/share,1,,07/05/2016,,Sale Press Release,,,,"Medivation announced it had entered into confidentiality agreements with several parties, including Sanofi, and that Sanofi had agreed to withdraw its consent solicitation.",,
