xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6461,6417,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,1,1 party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-15 00:00:00,NDA,NA,NA,NA,[EVERYTHING IN GREY SHOULD NOT BE HERE],,
6462,6418,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,2,1 party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2007-01-15 00:00:00,Drop,NA,NA,NA,,,
6463,6419,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,3,A diffferent party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-15 00:00:00,NDA,NA,NA,NA,,,
6464,6420,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,4,A diffferent party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2009-01-15 00:00:00,Drop,NA,NA,NA,,,
6465,6420.5,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,4.5,Ingredion,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-07-20 00:00:00,2014-07-17 00:00:00,Bidder Interest,NA,NA,NA,,,
6466,6421,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,5,Ingredion,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-07-20 00:00:00,2014-07-20 00:00:00,NDA,NA,NA,NA,"This NDA is a 'Secrecy Agreement', i.e. lacks certain features of a standard NDA and standstill agreement",,
6467,6421.5,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,5.5,Deutsche Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-21 00:00:00,2014-07-30 00:00:00,IB,NA,NA,NA,Legal counsel: Perkins Coie,"It looks like DB was already seleected on July 30, and provided some advice on Aug 11, even though an engagement letter was signed on Sep 11. Which date should be used?",
6468,6422,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,6,Ingredion,0,1,0,0,S,17,17,17,17,dollar,1,Informal,2014-08-06 00:00:00,2014-08-06 00:00:00,NA,NA,NA,NA,,,
6469,6423,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,7,Ingredion,0,1,0,0,S,18,18,18,18,dollar,1,Informal,2014-08-10 00:00:00,2014-08-10 00:00:00,NA,1,NA,NA,,,
6470,6424,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,8,Ingredion,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-08-21 00:00:00,2014-08-21 00:00:00,NDA,NA,NA,NA,,,
6471,6425,PENFORD CORP,11748,2685880020,INGREDION INC,66016,2014-10-15 00:00:00,2015-03-11 00:00:00,2014-12-29 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,9,Party C,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-09-15 00:00:00,2014-09-15 00:00:00,NDA,NA,NA,NA,,,
