Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
256,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,0.5,Ingredion Inc.,,1,,,public S,,,,,$/share,1,,07/17/2014,,Bidder Interest,,,,Ilene Gordon advised Thomas Malkoski of Ingredion's interest in acquiring Penford.,No specific price was cited; Gordon referenced Penford's approximately $16.00 per share 52-week high and approximately $12.00 per share current trading price.,
257,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,1,Ingredion Inc.,,1,,,public S,,,,,$/share,1,,07/20/2014,,NDA,,,,Secrecy Agreement effective as of this date.,Provided for limited exchange of confidential information and confidentiality of discussions.,
258,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,2,Ingredion Inc.,,1,,,public S,17,17,17,17,$/share,1,Informal,08/06/2014,,,,,,Oral indication; Fortnum suggested $17.00 per share on a fully diluted basis could likely get support from Ingredion's board.,Malkoski responded that the price would probably not be high enough for Penford's board.,
259,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,3,Ingredion Inc.,,1,,,public S,18,18,18,18,$/share,1,Informal,08/10/2014,,,True,,,Letter confirming interest in a possible business combination.,Indicative valuation of $18.00 per share in cash for all outstanding capital stock on a fully diluted basis.,Non-binding indication of interest.
260,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,4,Party A,,1,,,S,,,,,$/share,1,,08/11/2014,,Bidder Interest,,,,Party A's Chief Executive Officer informally discussed Party A's potential interest in acquiring or combining with Penford.,Party A said it saw value in Penford only at a typical takeover premium based on current trading price.,
261,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,5,SEACOR,,1,,,S,,,,,$/share,1,,08/12/2014,,Target Interest,,,,Hatfield contacted Behrens to determine whether SEACOR was interested in acquiring the Company.,,
262,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,6,SEACOR,,1,,,S,,,,,$/share,1,,08/12/2014,,Drop,,,,Behrens stated that SEACOR was not interested in participating in any potential sale process at that time.,,
263,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,7,Ingredion Inc.,,1,,,public S,,,,,$/share,1,,08/21/2014,,NDA,,,,Nondisclosure and standstill agreement executed on this date.,Superseded the prior Secrecy Agreement.,
264,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,8,NA,,,,,,,,,,$/share,1,,08/28/2014,,Target Sale,,,,Board authorized management and Deutsche Bank to proceed with a market check process while continuing negotiations and due diligence with Ingredion.,,
265,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,9,Party A,,1,,,S,,,,,$/share,1,,09/09/2014,,Bidder Interest,,,,"After Deutsche Bank's outreach in the market check, Party A expressed interest in having further discussions regarding a transaction.",Deutsche Bank forwarded Party A a nondisclosure and standstill agreement.,
266,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,10,Party B,,1,,,S,,,,,$/share,1,,09/09/2014,,Bidder Interest,,,,Party B expressed interest in further discussions after being contacted by Deutsche Bank.,Deutsche Bank forwarded Party B a nondisclosure and standstill agreement.,
267,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,11,Party C,,1,,,S,,,,,$/share,1,,09/10/2014,,Bidder Interest,,,,Party C expressed interest in pursuing a transaction.,,
268,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,12,Deutsche Bank,,,,,,,,,,$/share,1,,09/11/2014,,IB,,,,Legal advisor: Perkins Coie,Board had directed management on 07/24/2014 to retain Deutsche Bank; engagement letter was executed on this date.,
269,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,13,Party D,,1,,,S,,,,,$/share,1,,09/11/2014,,Bidder Interest,,,,Party D expressed interest after being contacted by Deutsche Bank.,Deutsche Bank forwarded a nondisclosure and standstill agreement.,
270,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,14,Party B,,1,,,S,,,,,$/share,1,,09/12/2014,,Drop,,,,Party B informed Deutsche Bank that it had decided not to move forward with discussions or sign a nondisclosure agreement.,,
271,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,15,Party E,,1,,,S,,,,,$/share,1,,09/12/2014,,Target Interest,,,,Deutsche Bank left a voicemail for Party E regarding a potential transaction.,In the following two weeks Deutsche Bank left several additional voicemails and received no response.,
272,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,16,Party C,,1,,,S,,,,,$/share,1,,09/15/2014,,NDA,,,,Executed a nondisclosure and standstill agreement.,"Penford then provided Party C information regarding strategy, business segments, technologies, end markets, manufacturing, historical financial performance and projections.",
273,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,17,Ingredion Inc.,,1,,,public S,18.25,18.25,18.25,18.5,$/share,1,Informal,09/17/2014,,,,,,Fortnum reported that Ingredion could potentially increase its proposal from $18.00 per share to $18.25 or $18.50 per share on a fully diluted basis.,"By this point the parties had discussed the status of a draft merger agreement and J.P. Morgan had sent Deutsche Bank an initial draft on 09/06/2014, but the background does not say Ingredion had received a marked-up draft from Penford as of this call.",
274,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,18,Party D,,1,,,S,,,,,$/share,1,,09/23/2014,,NDA,,,,Executed a nondisclosure and standstill agreement.,,
275,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,19,Party F,,1,,,S,,,,,$/share,1,,09/24/2014,,Target Interest,,,,Deutsche Bank contacted Party F regarding a potential transaction with Penford.,,
276,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,20,Party F,,1,,,S,,,,,$/share,1,,09/29/2014,,Drop,,,,Party F communicated that a combination with Penford was not a suitable strategic fit and declined further discussions.,,
277,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,21,Party A,,1,,,S,,,,,$/share,1,,09/30/2014,,NDA,,,,Executed a nondisclosure and standstill agreement.,Deutsche Bank told Party A that Penford would not provide in-person management presentations unless Party A's proposed offer price would likely be over $20.00 per share.,
278,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,22,Ingredion Inc.,,1,,,public S,18.5,18.5,18.5,18.5,$/share,1,Informal,10/02/2014,,,,,,Fortnum stated that Ingredion was prepared to move forward based on a proposed price of $18.50 per share on a fully diluted basis.,Malkoski responded that the price was unlikely to be high enough for Penford's board to recommend the transaction.,"The background reflects ongoing discussion of a draft merger agreement, but it does not state that Ingredion had received a marked-up draft from Penford as of this October 2 call."
279,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,23,Ingredion Inc.,,1,,,public S,19,19,19,19,$/share,1,Informal,10/02/2014,,,,,,Ingredion letter increased the proposed price to $19.00 per share of outstanding Penford capital stock on a fully diluted basis.,Revised indication of interest.,The filing describes this as a revised indication of interest and does not state that Ingredion had received a marked-up draft merger agreement before this letter.
280,PENFORD CORP,,,INGREDION INC,,10/15/2014,,,,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,23.5,NA,,,,,,,,,,$/share,1,,10/03/2014,,Target Sale,,,,"After reviewing Ingredion's revised $19.00 indication and the market-check update, the board unanimously directed management to proceed to negotiate and finalize a definitive agreement with Ingredion.","Later that day, Malkoski informed Fortnum that the board had authorized management to move forward with negotiating the draft merger agreement.",
