index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
158,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,1,2007 Industry Party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2007-07-01,2007,Bidder Interest,1,First of two stale prior unsolicited indications of interest. Filing does not name party.,NA,NA,NA,[info:date_inferred_from_rough] phrase: '2007' | [soft:bidder_type_ambiguous] Filing only says 'parties engaged in the Company’s industry'; public status unknown; base=s inferred from industry-participant context.,29,"In 2007 and 2009, the Company received unsolicited indications of interest to acquire Penford from two parties engaged in the Company’s industry. In each case, the Company entered into a confidentiality agreement and engaged in discussions and exchanged information with the party expressing interest."
159,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,2,2007 Industry Party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2007-07-01,2007,NDA,1,Confidentiality agreement with 2007 unsolicited party. Filing confirms NDA executed and discussions occurred; no offer resulted.,NA,NA,NA,[info:date_inferred_from_rough] phrase: '2007',29,"In 2007 and 2009, the Company received unsolicited indications of interest to acquire Penford from two parties engaged in the Company’s industry. In each case, the Company entered into a confidentiality agreement and engaged in discussions and exchanged information with the party expressing interest. These discussions did not result in offers to acquire the Company."
160,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,3,2009 Industry Party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2009-07-01,2009,Bidder Interest,1,Second of two stale prior unsolicited indications of interest. Filing does not name party.,NA,NA,NA,[info:date_inferred_from_rough] phrase: '2009' | [soft:bidder_type_ambiguous] Filing only says 'parties engaged in the Company’s industry'; public status unknown; base=s inferred from industry-participant context.,29,"In 2007 and 2009, the Company received unsolicited indications of interest to acquire Penford from two parties engaged in the Company’s industry. In each case, the Company entered into a confidentiality agreement and engaged in discussions and exchanged information with the party expressing interest."
161,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,4,2009 Industry Party,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2009-07-01,2009,NDA,1,Confidentiality agreement with 2009 unsolicited party. Filing confirms NDA executed and discussions occurred; no offer resulted.,NA,NA,NA,[info:date_inferred_from_rough] phrase: '2009',29,"In 2007 and 2009, the Company received unsolicited indications of interest to acquire Penford from two parties engaged in the Company’s industry. In each case, the Company entered into a confidentiality agreement and engaged in discussions and exchanged information with the party expressing interest. These discussions did not result in offers to acquire the Company."
162,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,5,Ingredion,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2014-07-17,NA,Bidder Sale,1,Ingredion CEO Gordon advised Penford CEO Malkoski of Ingredion’s interest in acquiring Penford. Explicit acquisition intent stated without a specific price; constitutes Bidder Sale per §D1 (unambiguous intent-to-buy).,NA,NA,NA,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Ingredion Incorporated' for 'bidder_03' not in aliases_observed=['Ingredion'],30,"On July 17, 2014, Mr. Malkoski and Ms. Gordon met for lunch, during which meeting Ms. Gordon advised Mr. Malkoski of Ingredion’s interest in acquiring Penford."
163,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,6,Ingredion,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2014-07-20,NA,NDA,1,"Initial Secrecy Agreement for limited exchange of confidential information. Superseded by full NDA on August 21, 2014.",NA,NA,NA,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Ingredion Incorporated' for 'bidder_03' not in aliases_observed=['Ingredion'],30,"Penford and Ingredion executed a Secrecy Agreement, effective as of July 20, 2014, providing for limited exchange of confidential information and obligating the companies to keep their discussions confidential"
164,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,7,Ingredion,0,1,0,0,public S,NA,18.0,NA,NA,USD_per_share,NA,Informal,2014-08-10,NA,NA,1,First written indication of interest at $18.00 per share. Board noted it did not reflect full value; process continued.,NA,NA,"Informal per §G1: filing describes this as an 'indicative valuation' in a letter confirming 'interest in a possible business combination'; non-binding indication, no commitment letters, no process-letter context.",[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Ingredion Incorporated' for 'bidder_03' not in aliases_observed=['Ingredion'],31,"On August 10, 2014, Penford received a letter from Mr. Fortnum, confirming Ingredion’s interest in a possible business combination between Ingredion and the Company, citing certain strategic reasons for the proposed acquisition, and providing an indicative valuation of $18.00 per share in cash for all of the outstanding capital stock of Penford on a fully diluted basis."
165,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,8,Deutsche Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-11,NA,IB,1,"Financial advisor to Penford. Executive Committee decision to retain made July 24; formal engagement letter executed September 11, 2014. Earliest narrated advisory action August 11 (attended Executive Committee meeting reviewing Ingredion proposal).",NA,NA,NA,[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Deutsche Bank Securities Inc.' for 'bidder_04' not in aliases_observed=['Deutsche Bank'],31,"August 11, 2014, the Executive Committee met with members of management and representatives of each of Perkins Coie and Deutsche Bank, at which meeting they discussed Ingredion’s indication of interest received on August 10."
166,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,9,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-08-11,NA,Bidder Interest,1,Party A CEO informally discussed potential interest in acquiring or combining with Penford; noted it would base offer on last twelve months performance at a typical takeover premium. No specific price stated.,NA,NA,NA,[soft:bidder_type_ambiguous] Filing describes Party A as 'a company in the industry'; base=s inferred; public status unknown.,32,"Also on August 11, 2014, Mr. Malkoski met with the Chief Executive Officer of Party A. Mr. Malkoski and Party A’s Chief Executive Officer briefly discussed the recent SEACOR Filing. Party A’s Chief Executive Officer also informally discussed Party A’s potential interest in acquiring or combining with Penford."
167,Penford Corporation,11748,2685880020,Ingredion Incorporated,66016,2014-10-15,NA,2014-12-29,DEFM14A,https://www.sec.gov/Archives/edgar/data/739608/0001193125-14-455030-index.htm,1,10,J.P. Morgan Securities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-21,NA,IB,1,Financial advisor to Ingredion. Earliest narrated advisory action: attendance at August 21 management presentation described as 'Ingredion’s financial advisor.' Date is explicitly stated in the filing.,NA,NA,NA,NA,33,"members of Penford’s management team provided a presentation to Ms. Gordon, Mr. Fortnum, and certain other members of Ingredion’s senior management and representatives of J.P. Morgan Securities, Ingredion’s financial advisor. This presentation provided information regarding Penford’s operations"
