index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
229,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,1,JANA Partners,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-07-03,NA,Activist Sale,1,JANA filed Schedule 13D acquiring 9.9% stake and advocated for sale of the Company,NA,NA,NA,"[hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[29].content; excerpt: ""On July 3, 2014, JANA Partners filed a Schedule 13D with the SEC disclosing that JANA had acquired 9.9% of the Company's..."" | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='JANA Partners LLC' for 'bidder_01' not in aliases_observed=['JANA', 'JANA Partners']",29,"On July 3, 2014, JANA Partners filed a Schedule 13D with the SEC disclosing that JANA had acquired 9.9% of the Company's outstanding common stock and that JANA intended to engage in discussions with management and the board with respect to a review of strategic alternatives, including a sale of the Company."
230,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,2,Longview,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-07-07,NA,Activist Sale,1,Longview made public a letter to the board advocating for a sale of the Company and indicating willingness to roll over holdings if needed,NA,NA,NA,"[soft:multi_activist_coordination_ambiguous] JANA and Longview filed separately on different dates and communicated independently; treated as separate activists per §D1.b. Longview ends up in winning consortium as equity rollover participant. | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Longview Asset Management, LLC' for 'bidder_02' not in aliases_observed=['Longview']",29,"On July 7, 2014, Longview made public a letter to the board in which Longview stated that the board should consider the a sale of the Company (as well as other strategic alternatives) and that should the board determine a sale transaction to be in the interests of all stockholders, Longview would consider, depending on the parties and terms involved, rolling part or all of its holdings into equity of the acquiring entity rather than receive cash consideration"
231,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,3,J.P. Morgan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-07-15,In July 2014,IB,1,"Engagement letter effective August 21, 2014; Background section says retained 'In July' after interviewing several candidates",NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'In July' | [soft:date_inferred_from_context] Engagement letter effective August 21, 2014 per fairness opinion section; Background says 'In July' — using July per §J1 earliest-action rule; precise date in Background is rough only | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[29].content; excerpt: 'In July, after interviewing several potential financial advisors, the Company retained J.P. Morgan as financial advisor ...' | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='J.P. Morgan Securities LLC' for 'bidder_03' not in aliases_observed=['J.P. Morgan']",29,"In July, after interviewing several potential financial advisors, the Company retained J.P. Morgan as financial advisor based on, among other factors, J.P. Morgan's reputation, experience in mergers and acquisitions, valuation, financing and capital markets and its familiarity with the Company."
232,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-13,NA,Target Sale,1,Board determined to explore strategic alternatives including a possible sale of the Company and authorized the ad hoc committee to oversee the sale exploration process,NA,NA,NA,NA,29,"As a result of this meeting, the board (1) determined to explore strategic alternatives (including a possible sale of the Company) for the Company to maximize value for stockholders including by commencing a process to determine the potential value that could be achieved via a sale of the Company;"
233,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-08-19,NA,Target Sale Public,1,NA,NA,NA,NA,NA,30,"On August 19, 2014, concurrent with its second quarter earnings announcement, the Company issued a press release announcing that it determined to explore strategic alternatives for the Company to maximize value for stockholders, including a possible sale of the Company."
234,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,6,Buyer Group,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-10-05,first week of October 2014,NDA,1,One of 15 financial buyers who signed NDAs in first week of October 2014; later identified as Buyer Group (BC Partners / Caisse / GIC / StepStone). Financial sponsor consortium.,NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'first week of October 2014' | [info:unnamed_count_placeholder] One of exactly 15 named NDA signers; identity as Buyer Group inferred from later filing narration | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[30].content; excerpt: 'In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentiall...' | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='BC Partners, Inc. / Buyer Group' for 'bidder_04' not in aliases_observed=['Buyer Group']",30,"In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentially interested financial buyers, all 15 of which, during the month of October engaged in due diligence, received management presentations involving the Company's senior-most management, and received detailed financial and business plan information"
235,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,7,Bidder 2,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-10-05,first week of October 2014,NDA,1,One of 15 financial buyers; later referred to as Bidder 2 in the sale process,NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'first week of October 2014' | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[30].content; excerpt: 'In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentiall...'",30,"In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentially interested financial buyers, all 15 of which, during the month of October engaged in due diligence, received management presentations involving the Company's senior-most management, and received detailed financial and business plan information"
236,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,8,Bidder 3-A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-10-05,first week of October 2014,NDA,1,One of 15 financial buyers; later identified as one of the two bidders that merged into Bidder 3 (Bidder 3-A). Submitted IOI suggesting range of $80-$85/share.,NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'first week of October 2014' | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[30].content; excerpt: 'In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentiall...'",30,"In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentially interested financial buyers, all 15 of which, during the month of October engaged in due diligence, received management presentations involving the Company's senior-most management, and received detailed financial and business plan information"
237,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,9,Bidder 3-B,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-10-05,first week of October 2014,NDA,1,One of 15 financial buyers; later identified as one of the two bidders that merged into Bidder 3 (Bidder 3-B). This bidder indicated to J.P. Morgan it would drop out of the process if not permitted to work with another bidder.,NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'first week of October 2014' | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[30].content; excerpt: 'In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentiall...'",30,"In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentially interested financial buyers, all 15 of which, during the month of October engaged in due diligence, received management presentations involving the Company's senior-most management, and received detailed financial and business plan information"
238,"PetSmart, Inc.",28648,2665787020,"BC Partners, Inc., La Caisse de dépôt et placement du Québec, affiliates of GIC Special Investments Pte Ltd, affiliates of StepStone Group LP and Longview Asset Management, LLC",NA,2014-12-14,NA,2015-02-02,DEFM14A,https://www.sec.gov/Archives/edgar/data/863157/0001571049-15-000695-index.htm,1,10,Financial 2,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-10-05,first week of October 2014,NDA,1,One of 15 unnamed financial buyers who signed NDA in first week of October 2014,NA,NA,NA,"[info:date_inferred_from_rough] phrase: 'first week of October 2014' | [info:unnamed_count_placeholder] Placeholder 2 of 11 unnamed NDA signers among the 15 financial buyers | [hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[30].content; excerpt: 'In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentiall...'",30,"In the first week of October 2014, the Company entered into confidentiality and standstill agreements with 15 potentially interested financial buyers, all 15 of which, during the month of October engaged in due diligence, received management presentations involving the Company's senior-most management, and received detailed financial and business plan information"
