xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6024,6022.3,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.3,Party A,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-07-22 00:00:00,2015-12-31 00:00:00,Bidder Interest,NA,NA,NA,"Bidder interest suggested, but no bid",,
6025,6022.5,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.5,Greene Holcomb & Fisher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-27 00:00:00,IB,NA,NA,NA,Legal advisor: Hinckley Allen,,
6026,6022.7,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-22 00:00:00,2016-03-14 00:00:00,Target Sale,NA,NA,NA,"No concrete offer from Party A and a large time gap, so perhaps this is Target Sale?",,
6027,6023,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,1,"25 parties, including Parties A, B",1,1,1,0,"11S, 14F",NA,NA,NA,NA,NA,NA,NA,NA,2016-03-28 00:00:00,NDA,NA,NA,NA,,,
6028,6024,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,2,G&W,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-13 00:00:00,2016-04-13 00:00:00,NA,NA,NA,NA,,,
6029,6025,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3,9 parties,NA,NA,NA,NA,NA,17.93,17.93,17.93,26.5,dollar,1,Informal,NA,2016-05-19 00:00:00,NA,NA,NA,NA,,,
6030,6026,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,4,16 parties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-01 00:00:00,2016-06-01 00:00:00,Drop,NA,NA,NA,,,
6031,6027,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,5,2 parties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-01 00:00:00,2016-06-01 00:00:00,DropTarget,NA,NA,NA,"In view of the substantial amount of management time that would be required for management presentations, the Transaction Committee concluded that the two low bidders should be excluded from that process. The Transaction Committee authorized representatives of GHF to schedule in-person management presentations with the remaining seven potential buyers and allow these parties to conduct additional due diligence. These potential buyers were given access to an internet data site to conduct legal and financial due diligence.",,
6032,6028,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-06-15 00:00:00,Final Round Inf Ann,NA,NA,NA,Mid-june 2016,"This is probably something we will not collect, but for now…",
6033,6029,PROVIDENCE & WORCESTER RR CO,14616,2994881020,GENESEE & WYOMING INC,63123,2016-08-15 00:00:00,2016-11-01 00:00:00,2016-09-20 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,7,Party C,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,NA,2016-07-01 00:00:00,NDA,NA,NA,NA,Early july 2016 - what should be the appropriate date? July 1?,,
