Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
192,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.3,Party A,,1,,,S,,,,,$/share,1,,,Q4 2015,Bidder Interest,,,,Party A suggested joint venture arrangements and expressed interest in acquiring equity in the Company.,No price was discussed.,
193,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.5,Greene Holcomb & Fisher LLC,,,,,,,,,,$/share,1,,01/27/2016,,IB,,,,The Board approved the engagement of Greene Holcomb & Fisher LLC as the Company's investment banking firm.,"Company legal counsel was Hinckley, Allen & Snyder LLP; GHF's business was later acquired by BMO on 08/01/2016.",
194,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.7,NA,,,,,,,,,,$/share,1,,03/14/2016,,Target Sale,,,,Board decided to proceed with discussions with Party A and solicit interest from other potential third parties regarding a change in control transaction.,,
195,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.8,11 potential strategic buyers,,1,,,S,,,,,$/share,1,,,03/28/2016,Target Interest,,,,"During the week of March 28, GHF contacted 11 potential strategic buyers, including Party A.",,
196,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,0.9,18 potential financial buyers,1,,,,F,,,,,$/share,1,,,03/28/2016,Target Interest,,,,"During the week of March 28, GHF contacted 18 potential financial buyers.",,
197,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,1,Party A,,1,,,S,,,,,$/share,1,,,04/05/2016,NDA,,,,Party A was among the potential buyers that had executed confidentiality agreements.,,
198,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,1.5,Party A,,1,,,S,,,,,$/share,1,,,,Drop,,,,,,
199,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,2,G&W,,1,,,public S,,,,,$/share,1,,,04/05/2016,NDA,,,,G&W was among the potential buyers that had executed confidentiality agreements.,,
200,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.066666666666667,Party D,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
201,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.133333333333333,bidder_2,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
202,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.166666666666667,bidder_2,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
203,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.2,bidder_3,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
204,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.233333333333333,bidder_3,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
205,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.266666666666667,bidder_4,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
206,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.3,bidder_4,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
207,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.333333333333333,bidder_5,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
208,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.366666666666667,bidder_5,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
209,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.4,bidder_6,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
210,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.433333333333334,bidder_6,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
211,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.466666666666667,bidder_7,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
212,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.5,bidder_7,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
213,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.533333333333333,bidder_8,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
214,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.566666666666666,bidder_8,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
215,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.6,bidder_9,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
216,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.633333333333333,bidder_9,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
217,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.666666666666667,bidder_10,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
218,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.7,bidder_10,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
219,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.733333333333333,bidder_11,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
220,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.766666666666667,bidder_11,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
221,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.8,bidder_12,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
222,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.833333333333333,bidder_12,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
223,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.866666666666667,bidder_13,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
224,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.9,bidder_13,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
225,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.933333333333334,bidder_14,1,,,,F,,,,,$/share,1,,,04/05/2016,NDA,,,,,,
226,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3.966666666666667,bidder_14,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
227,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,4,Party B,,1,,,S,,,,,$/share,1,,,04/21/2016,NDA,,,,"By 04/22/2016, Party B was included among the potential buyers that had executed confidentiality agreements.",,
228,PROVIDENCE & WORCESTER RR CO,,,GENESEE & WYOMING INC,,08/15/2016,,,,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,4.5,NA,,,,,,,,,,$/share,1,,04/27/2016,,Final Round Inf Ann,,,,Potential buyers were advised to submit non-binding indications of interest by 05/10/2016.,The deadline was later postponed to 05/19/2016.,
