index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
95,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,1,Party A,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2015-11-15,fourth quarter of 2015,Bidder Interest,0,Class I rail partner; expressed interest in acquiring equity in Company,NA,NA,NA,[info:date_inferred_from_rough] phrase: 'fourth quarter of 2015',34,"In the fourth quarter of 2015, Robert H. Eder (the Company’s Chairman and Chief Executive Officer) and Frank K. Rogers (the Company’s Vice President and Chief Commercial Officer) met with one of the Company’s Class I rail partners (“Party A”) to discuss joint commercial opportunities. During the meeting, Party A suggested possible joint venture arrangements and expressed some interest in acquiring equity in the Company to further develop strategic opportunities and enhance regional connectivity."
96,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,2,GHF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-27,NA,IB,0,"GHF (Greene Holcomb & Fisher LLC) retained as financial advisor; became BMO Capital Markets Corp. on August 1, 2016",NA,NA,NA,"[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Greene Holcomb & Fisher LLC / BMO Capital Markets Corp.' for 'bidder_02' not in aliases_observed=['BMO', 'GHF']",34,"During the executive session of the Board’s regular quarterly meeting held on January 27, 2016 (which Director Alfred P. Smith did not attend), the subcommittee recommended to the Board that the Company retain GHF as its investment banking firm."
97,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-03-14,NA,Target Sale,0,Board approved sale process at special meeting; Transaction Committee appointed,NA,NA,NA,NA,34,"At a special meeting of the Board held on March 14, 2016, representatives of GHF discussed their evaluation of the Company’s business operations and strategy for improving operational and financial performance, as well as railroad industry dynamics more generally and their impact on current railroad valuations. Representatives of GHF then proposed a process pursuant to which the Company would proceed with discussions with Party A and also solicit interest from other potential third parties regarding a change in control transaction."
98,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,4,Party A,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing | [soft:nda_without_bid_or_drop] bidder_name='bidder_01' signed NDA at row 3 but no follow-up (bid/drop/executed) was extracted",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
99,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,5,G&W,0,1,0,0,public S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
100,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,6,Party E,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
101,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,7,Party F,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
102,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,8,Strategic 1,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
103,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,9,Strategic 2,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
104,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,10,Strategic 3,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing | [soft:nda_without_bid_or_drop] bidder_name='bidder_11' signed NDA at row 9 but no follow-up (bid/drop/executed) was extracted",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
105,Providence and Worcester Railroad Company,14616,2994881020,Genesee & Wyoming Inc.,63123,2016-08-15,NA,2016-09-20,DEFM14A,https://www.sec.gov/Archives/edgar/data/831968/0001193125-16-713780-index.htm,1,11,Strategic 4,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2016-04-04,"subsequently after week of March 28, 2016",NDA,0,NA,NA,NA,NA,"[soft:date_inferred_from_context] NDA signed shortly after contacts in week of March 28, 2016; exact date not stated in filing | [soft:nda_without_bid_or_drop] bidder_name='bidder_12' signed NDA at row 10 but no follow-up (bid/drop/executed) was extracted",35,"During the week of March 28, 2016, in accordance with the Transaction Committee’s directives, representatives of GHF contacted 11 potential strategic buyers (including Party A) and 18 potential financial buyers. Each of the potential strategic buyers and 14 potential financial buyers subsequently executed confidentiality agreements."
