xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6996,6878.3,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.3,Goldman Sachs,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,2012-12-15 00:00:00,IB,NA,NA,NA,"For the past several years, Goldman Sachs, one of Saks’ longstanding financial advisors, has participated in these reviews. One such review took place in December 2012.",,
6997,6878.5,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.5,Sponsor A,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,2013-02-15 00:00:00,Bidder Interest,NA,NA,NA,In February 2013,,
6998,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,1,Hudson's Bay,0,1,0,1,Non-US public S,NA,NA,15,NA,dollar,1,Informal,NA,2013-04-15 00:00:00,NA,1,NA,NA,Legal counsel: Wachtell Lipton,,
6999,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,2,Sponsor A,1,0,0,0,F,NA,NA,15,NA,dollar,1,Informal,NA,2013-04-15 00:00:00,NA,1,NA,NA,,,
7000,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,3,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-26 00:00:00,2013-04-26 00:00:00,Drop,NA,NA,NA,,,
7001,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,4,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-26 00:00:00,2013-04-26 00:00:00,NDA,NA,NA,NA,,,
7002,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,5,Sponsor E,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-26 00:00:00,2013-04-26 00:00:00,NDA,NA,NA,NA,,,
7003,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,6,Hudson's Bay,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2013-04-30 00:00:00,2013-04-30 00:00:00,NDA,NA,NA,NA,,,
7004,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,7,Hudson's Bay,0,1,0,1,Non-US public S,15,15,15,15.25,dollar,1,Informal,NA,2013-06-03 00:00:00,NA,1,NA,NA,"In late May 2013, media reports began to appear stating that Saks had engaged Goldman Sachs to explore a potential sale of Saks.",,
7005,6879,SAKS INC,13380,2523633020,HUDSON'S BAY COMPANy,NA,2013-07-29 00:00:00,2013-11-04 00:00:00,2013-10-03 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,8,Sponsor A/E,1,0,0,0,F,15,15,15,16,dollar,1,Informal,NA,2013-06-03 00:00:00,NA,1,NA,NA,,,
