Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
354,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.3,Sponsor A,1,,,,F,,,,,$/share,1,,,02/15/2013,Bidder Interest,,,,Unsolicited phone call to Saks' CEO expressing interest in a potential acquisition of Saks.,,
355,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.4,Sponsor A,1,,,,F,,,,,$/share,1,,,03/01/2013,Bidder Interest,,,,CEO met with senior representatives of Sponsor A; no specific proposal or transaction terms were discussed.,,
356,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.5,Hudson's Bay,,1,,1,non-US S,,,,,$/share,1,,04/01/2013,,Bidder Interest,,,,Sadove met Richard Baker at Baker's request to discuss a potential acquisition of Saks; no specific proposal or transaction terms were discussed.,,
357,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.7,Hudson's Bay,,1,,1,non-US S,15,15,15,15,$/share,1,Informal,,04/15/2013,,True,,,"Indicated it was considering making an offer to acquire Saks for at least $15.00 per share, in cash.",,
358,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.8,Sponsor A,1,,,,F,15,15,15,15,$/share,1,Informal,,04/15/2013,,True,,,"Indicated it was considering making an offer to acquire Saks for at least $15.00 per share, in cash.",Sponsor E participated in the meeting with Sponsor A.,
359,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.85,Sponsor A,1,,,,F,,,,,$/share,1,,04/26/2013,,NDA,,,,Sponsor A and Sponsor E were considering participating in a potential joint acquisition of Saks.,,
360,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.855,Sponsor A,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
361,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.86,Sponsor E,1,,,,F,,,,,$/share,1,,04/26/2013,,NDA,,,,Sponsor A and Sponsor E were considering participating in a potential joint acquisition of Saks.,,
362,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.865,Sponsor E,1,,,,F,,,,,$/share,1,,,,Drop,,,,,,
363,SAKS INC,,,HUDSON'S BAY COMPANY,,07/29/2013,,,,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,0.87,Hudson's Bay,,1,,1,non-US S,,,,,$/share,1,,04/30/2013,,NDA,,,,,,
