index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
301,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,1,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-02-15,February 2013,Bidder Interest,1,Sponsor A made unsolicited phone call to Saks CEO expressing interest in potential acquisition; early March meeting followed but no specific proposals or terms discussed.,NA,NA,NA,[info:date_inferred_from_rough] phrase: 'February 2013',30,"In February 2013, Stephen I. Sadove, Saks’ Chairman and Chief Executive Officer, received an unsolicited phone call from a representative of a private equity firm, which we refer to as Sponsor A, expressing interest in a potential acquisition of Saks."
302,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,2,Hudson’s Bay,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2013-04-01,NA,Bidder Interest,1,Hudson's Bay CEO Richard Baker requested meeting with Saks CEO; no specific proposals or terms discussed.,NA,NA,NA,"[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name=""Hudson's Bay Company"" for 'bidder_03' not in aliases_observed=[""Hudson's Bay"", 'Hudson’s Bay']",30,"On April 1, 2013, Mr. Sadove met with Richard Baker, the Director, Governor, and Chief Executive Officer of Hudson’s Bay, at the request of Mr. Baker and discussed a potential acquisition of Saks by Hudson’s Bay. No specific proposals were made by Hudson’s Bay, and no specific transaction terms were discussed."
303,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,3,Goldman Sachs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-11,first narration: 2013-04-11 joint committee meeting,IB,1,Goldman Sachs identified as Saks' longstanding financial advisor; earliest narrated date in Background where Goldman acts in advisory capacity is the April 11 joint committee meeting. Filing notes Goldman had participated in strategic reviews 'for the past several years.',NA,NA,NA,"[soft:date_inferred_from_context] filing does not narrate explicit Goldman Sachs retention date; inferred from first narrated advisory action on April 11, 2013. Filing notes Goldman was a 'longstanding financial advisor' well before the process.",31,"On April 11, 2013, the Finance committee of the board and the Executive committee of the board held a special joint telephonic meeting attended by representatives of Goldman Sachs and Wachtell, Lipton, Rosen & Katz, referred to as Wachtell Lipton, Saks’ external counsel."
304,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,4,Sponsor C,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-17,NA,NDA,1,"NDA signed in context of potential equity financing for Saks’ acquisition of Company B, not as acquiror of Saks. See deal-level flag nda_context_company_b_financing.",NA,NA,NA,"[info:nda_context_company_b_financing] Sponsor C signed NDA as potential equity financing provider for Saks acquiring Company B, not as acquiror of Saks. Role as bidder in Saks sale auction is questionable. | [soft:nda_without_bid_or_drop] bidder_name='bidder_04' signed NDA at row 3 but no follow-up (bid/drop/executed) was extracted",31,"On April 17, 2013, Saks and Sponsor C entered into a confidentiality agreement."
305,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,5,Hudson’s Bay,0,1,0,1,Non-US public S,NA,NA,15.0,NA,USD_per_share,NA,Informal,2013-04-18,"week of April 15, 2013",NA,1,Pre-NDA price indication; single lower bound 'at least $15 per share'. HBC NDA signed April 30.,NA,NA,"Informal per §G1 process-position fallback: pre-NDA indication (HBC NDA not signed until April 30), no financing commitments, no merger agreement; §C4 applies (pre-NDA concrete price indication, HBC later signed NDA).","[info:date_inferred_from_rough] phrase: 'week of April 15, 2013' | [info:bid_lower_only] single lower bound: 'at least $15 per share'; no upper bound stated | [info:pre_nda_informal_bid] Hudson's Bay communicated at-least-$15/share indication during week of April 15, 2013; HBC NDA not signed until April 30, 2013. §C4 applies; later NDA satisfies §P-D6. | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name=""Hudson's Bay Company"" for 'bidder_03' not in aliases_observed=[""Hudson's Bay"", 'Hudson’s Bay']",31,"During the week of April 15, 2013, representatives of Goldman Sachs met separately with representatives of each of Hudson’s Bay and Sponsor A in order to discuss their respective consideration of a potential acquisition of Saks. Each of Hudson’s Bay and Sponsor A indicated that they were considering making an offer to acquire Saks for at least $15 per share, in cash."
306,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,6,Sponsor A,1,0,0,0,F,NA,NA,15.0,NA,USD_per_share,NA,Informal,2013-04-18,"week of April 15, 2013",NA,1,Pre-NDA price indication; single lower bound 'at least $15 per share'. Sponsor A NDA signed April 26.,NA,NA,"Informal per §G1 process-position fallback: pre-NDA indication (Sponsor A NDA not signed until April 26), no financing commitments, no merger agreement; §C4 applies.","[info:date_inferred_from_rough] phrase: 'week of April 15, 2013' | [info:bid_lower_only] single lower bound: 'at least $15 per share'; no upper bound stated | [info:pre_nda_informal_bid] Sponsor A communicated at-least-$15/share indication during week of April 15, 2013; Sponsor A NDA not signed until April 26, 2013. §C4 applies; later NDA satisfies §P-D6.",31,"During the week of April 15, 2013, representatives of Goldman Sachs met separately with representatives of each of Hudson’s Bay and Sponsor A in order to discuss their respective consideration of a potential acquisition of Saks. Each of Hudson’s Bay and Sponsor A indicated that they were considering making an offer to acquire Saks for at least $15 per share, in cash."
307,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,7,Sponsor D,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-19,NA,NDA,1,"NDA signed in context of potential equity financing for Saks’ acquisition of Company B, not as acquiror of Saks. See deal-level flag nda_context_company_b_financing.",NA,NA,NA,"[info:nda_context_company_b_financing] Sponsor D signed NDA as potential equity financing provider for Saks acquiring Company B, not as acquiror of Saks. Role as bidder in Saks sale auction is questionable. | [soft:nda_without_bid_or_drop] bidder_name='bidder_05' signed NDA at row 6 but no follow-up (bid/drop/executed) was extracted",31,"On April 19, 2013, Saks and Sponsor D entered into a confidentiality agreement."
308,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,8,Sponsor A,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-26,NA,NDA,1,"NDA signed along with Sponsor E, who were considering participating in potential joint acquisition of Saks.",NA,NA,NA,NA,31,"On April 26, 2013, Saks entered into a confidentiality agreement with each of Sponsor A and Sponsor E, who were considering participating in a potential joint acquisition of Saks."
309,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,9,Sponsor E,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2013-04-26,NA,NDA,1,NDA signed along with Sponsor A; Sponsor E was in discussions with Sponsor A regarding a potential joint acquisition.,NA,NA,NA,NA,31,"On April 26, 2013, Saks entered into a confidentiality agreement with each of Sponsor A and Sponsor E, who were considering participating in a potential joint acquisition of Saks."
310,Saks Incorporated,13380,2523633020,Hudson’s Bay Company,NA,2013-07-29,NA,2013-10-03,DEFM14A,https://www.sec.gov/Archives/edgar/data/812900/0001193125-13-390275-index.htm,1,10,Hudson’s Bay,0,1,0,1,Non-US public S,NA,NA,NA,NA,NA,NA,NA,2013-04-30,NA,NDA,1,NA,NA,NA,NA,"[soft:resolved_name_not_observed] §P-R5/§E4: resolved_name=""Hudson's Bay Company"" for 'bidder_03' not in aliases_observed=[""Hudson's Bay"", 'Hudson’s Bay']",31,"On April 30, 2013, Saks and Hudson’s Bay entered into a confidentiality agreement."
