xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
7144,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.5,Company B,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,2013-04-04 00:00:00,2013-02-13 00:00:00,Bidder Interest,NA,NA,46810000,"Approximately two weeks later, the President of Company B contacted Mr. Manouch Moshayedi to inform Mr. Moshayedi that he had shared sTec’s information with Company B’s executive management, but that Company B’s management had determined that it was not interested in acquiring sTec and believed that it could independently develop the technology it needed to compete in enterprise SSDs.",,
7145,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.7,Company D,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,2013-04-04 00:00:00,2013-03-15 00:00:00,Bidder Interest,NA,NA,46810000,"In mid-March, 2013, the head of corporate development for Company D, a participant in the storage industry, contacted our management to express the interest of Company D in exploring a potential acquisition of the company. At the direction of the special committee, members of our management met with representatives of Company D to discuss their potential interest.",,
7146,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.8,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-04 00:00:00,2013-03-28 00:00:00,IB,NA,NA,46810000,"On March 26, a board meeting discussed ""the lack of interest from financial buyers in light of the company’s recent financial performance and the potential difficulties this created for financial buyers to use debt to finance a purchase of the company, and the fact that strategic buyers would likely attribute the greatest value to the company and its business... it was in the best interests of the company and its shareholders to confidentially approach strategic buyers that the board believed would be most likely to have interest in a potential acquisition of the company to explore their interest, but to also further conduct a limited confirmatory exploration of interest of financial buyers.""",,
7147,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,1,Company E,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-04 00:00:00,2013-04-04 00:00:00,NDA,NA,NA,46810000,Legal counsel: Gibson Dunn,,
7148,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,2,Company D,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-10 00:00:00,2013-04-10 00:00:00,NDA,NA,NA,46810000,,,
7149,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,3,Company F,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-11 00:00:00,2013-04-11 00:00:00,NDA,NA,NA,46810000,,,
7150,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,4,Company G,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-17 00:00:00,2013-04-17 00:00:00,NDA,NA,NA,46810000,,,
7151,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,5,WDC,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-17 00:00:00,2013-04-17 00:00:00,NDA,NA,NA,46810000,,,
7152,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-23 00:00:00,2013-04-23 00:00:00,Final Round Inf Ann,NA,NA,46810000,,,
7153,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,5.7,Company D,0,1,0,0,S,NA,NA,5.6,NA,dollar,1,Informal,2013-04-23 00:00:00,2013-04-23 00:00:00,NA,NA,NA,46810000,,,
7154,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,6,Company F,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-24 00:00:00,2013-04-24 00:00:00,DropTarget,NA,NA,46810000,"indicated it was also only interested in purchasing limited, select assets of sTec, and as a result the special committee decided not to continue discussions",,
7155,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,7,Company E,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-04-24 00:00:00,2013-04-24 00:00:00,DropTarget,NA,NA,46810000,"indicated it was also only interested in purchasing limited, select assets of sTec, and as a result the special committee decided not to continue discussions",,
7156,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,9,WDC,0,1,0,0,S,6.6,6.6,6.6,7.1,dollar,1,Informal,2013-05-03 00:00:00,2013-05-03 00:00:00,NA,1,NA,46832000,,,
7157,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,10,Company G,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-05-03 00:00:00,2013-05-03 00:00:00,Drop,NA,NA,46832000,Indicated it would not continue the process,,
7158,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-04-23 00:00:00,2013-05-03 00:00:00,Final Round Inf,NA,NA,46810000,,,
7159,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,11,Company H,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-05-08 00:00:00,2013-05-08 00:00:00,NDA,NA,NA,46832000,,,
7160,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,12,Company D,0,1,0,0,S,5.75,5.75,5.75,5.75,dollar,1,Informal,2013-05-10 00:00:00,2013-05-10 00:00:00,NA,1,NA,46813000,,,
7161,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,13,Company H,0,1,0,0,S,5,5,5,5.75,dollar,1,Informal,2013-05-15 00:00:00,2013-05-15 00:00:00,NA,1,NA,46813000,,,
7162,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-16 00:00:00,2013-05-16 00:00:00,Final Round Ann,NA,NA,46813000,,,
7163,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,15,Company H,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2013-05-23 00:00:00,2013-05-23 00:00:00,Drop,NA,NA,46813000,Indicated it is not able to increase its indicated value range,,
7164,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,16,WDC,0,1,0,0,S,9.15,9.15,9.15,9.15,dollar,1,Formal,2013-05-28 00:00:00,2013-05-28 00:00:00,NA,1,NA,46813000,"various interesting covenants, e.g. not to sue by target CEO, included",,
7165,6879,S T E C INC,134384,2532345020,WESTERN DIGITAL CORP,11399,2013-06-24 00:00:00,2013-09-12 00:00:00,2013-08-08 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-16 00:00:00,2013-05-28 00:00:00,Final Round,NA,NA,46813000,,,
