Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
382,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.3,Company A,,1,,,S,,,,,$/share,1,,11/14/2012,,Bidder Interest,,,,Company A's investment bank requested a preliminary meeting and sent a draft non-disclosure agreement.,Scheduled meeting was later cancelled because non-management directors were concerned Company A management had not demonstrated involvement.,
383,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.35,NA,,,,,,,,,,$/share,1,,,11/15/2012,Target Sale,,,,"In mid-November 2012, the board authorized management to contact potential financial advisors regarding strategic alternatives, including a possible sale.",,
384,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.4,"Balch Hill Partners, L.P.",,,,,,,,,,$/share,1,,12/06/2012,,Activist Sale,,,,Balch Hill amended its Schedule 13D and issued a letter urging cost reductions and exploration of strategic alternatives.,Potomac later joined Balch Hill in the activist campaign.,
385,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.45,NA,,,,,,,,,,$/share,1,,02/13/2013,,Target Sale,,,,"Board established a special committee to review strategic alternatives, including a possible sale of the company.",,
386,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.5,Company B,,1,,,S,,,,,$/share,1,,02/13/2013,,Bidder Interest,,,,Company B's president said he intended to present sTec as a possible acquisition target at Company B's management meeting the following week.,,
387,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.55,Company B,,1,,,S,,,,,$/share,1,,,02/27/2013,Drop,,,,"Approximately two weeks later, Company B informed sTec that its management was not interested in acquiring sTec and believed it could develop needed technology independently.",,
388,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.6,Company C,,1,,,S,,,,,$/share,1,,03/13/2013,,Bidder Interest,,,,Company C expressed potential interest in acquiring particular assets of sTec and said it was considering submitting an acquisition proposal.,,
389,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.65,Company D,,1,,,S,,,,,$/share,1,,,03/15/2013,Bidder Interest,,,,"In mid-March 2013, Company D's head of corporate development contacted management to express interest in a potential acquisition of the company.",,
390,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.7,NA,,,,,,,,,,$/share,1,,03/26/2013,,Target Sale,,,,"Board approved retaining BofA Merrill Lynch, decided to confidentially approach likely strategic buyers, and to conduct limited confirmatory outreach to financial buyers.",,
391,S T E C INC,,,WESTERN DIGITAL CORP,,06/24/2013,,,,https://www.sec.gov/Archives/edgar/data/1102741/0001193125-13-325730-index.htm,1,0.75,BofA Merrill Lynch,,,,,,,,,,$/share,1,,03/28/2013,,IB,,,,"Legal advisor: Gibson, Dunn & Crutcher LLP. Engaged to provide financial advisory services in connection with strategic alternatives and defensive preparedness.",,
