xlsx_row,col0,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
6385,6359.5,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.5,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-28 00:00:00,IB,NA,NA,NA,Legal advisor: King & Spalding,,
6386,6359.7,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.7,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-31 00:00:00,Target Sale,NA,NA,NA,Legal advisor: King & Spalding,,
6387,6360,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,1,24 parties,1,1,1,0,S and F,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-27 00:00:00,NDA,NA,NA,22973000,,,
6388,6361,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2,New Mountain Capital,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-19 00:00:00,2014-03-19 00:00:00,NDA,NA,NA,22973000,,,
6389,6361.5,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-27 00:00:00,Final Round Inf Ann,NA,NA,NA,,,
6390,6362,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,3,"5 parties, 4F and 1S",NA,NA,NA,NA,NA,20,20,20,22,dollar,1,Informal,2014-04-14 00:00:00,2014-04-14 00:00:00,NA,NA,NA,22989000,"This field needs to be expanded to 5 bidders; one of them bid 20, another 22, another three [20,22]?",,
6391,6363,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,4,New Mountain Capital,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-04-14 00:00:00,2014-04-14 00:00:00,Drop,NA,NA,22989000,,,
6392,6364,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,5,19 parties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14 00:00:00,2014-04-14 00:00:00,Drop,NA,NA,22989000,,,
6393,6364.5,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-14 00:00:00,Final Round Inf,NA,NA,NA,,,
6394,6364.7,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-05-07 00:00:00,Final Round,NA,NA,NA,,,
6395,6365,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,6,Party X,1,0,0,0,F,21.5,21.5,21.5,23,dollar,1,Informal,2014-05-09 00:00:00,2014-05-09 00:00:00,NA,NA,NA,22989000,,,
6396,6366,ZEP INC,178538,2741377020,NEW MOUNTAIN CAPITAL,NA,2015-04-08 00:00:00,2015-06-26 00:00:00,2015-05-26 00:00:00,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,7,Party X,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-05-14 00:00:00,2014-05-14 00:00:00,Drop,NA,NA,22989000,,,
