Row,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3
112,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.2,NA,,,,,,,,,,$/share,1,,06/20/2013,,Target Sale,,,,"At a June 20, 2013 meeting, the board first discussed the possibility of exploring strategic alternatives, including a potential sale of the Company.",,
113,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.3,NA,,,,,,,,,,$/share,1,,07/01/2013,,Target Sale,,,,"At a July 1, 2013 meeting, the board unanimously agreed to proceed with initial steps related to exploring strategic alternatives, including a potential sale of the Company.",,
114,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.4,NA,,,,,,,,,,$/share,1,,08/20/2013,,Terminated,,,,"At an August 20, 2013 meeting, the board concluded that it was not an appropriate time to explore strategic alternatives or engage a financial advisor and instead determined to continue focusing on the business and fiscal 2014 plan.",,
115,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.45,NA,,,,,,,,,,$/share,1,,,01/08/2014,Restarted,,,,"At January 7 and January 8, 2014 board meetings, the board concluded that it was timely to revisit the previously discussed exploration of strategic alternatives.",,
116,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,0.5,BofA Merrill Lynch,,,,,,,,,,$/share,1,,01/28/2014,,IB,,,,Legal advisor: King & Spalding LLP,Board unanimously approved engagement letter with BofA Merrill Lynch to act as financial advisor in reviewing strategic alternatives.,
117,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,1,50 potential buyers,,,1,,S/F,,,,,$/share,1,,,03/01/2014,Target Interest,,,,BofA Merrill Lynch contacted 50 potential buyers at the direction of the board: 28 strategic buyers and 22 financial buyers.,,
118,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.038461538461538,Party X,1,,,,F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
119,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.076923076923077,Party Y,,1,,,S,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
120,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.115384615384615,bidder_3,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
121,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.153846153846154,bidder_4,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
122,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.192307692307693,bidder_5,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
123,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.230769230769231,bidder_6,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
124,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.269230769230769,bidder_7,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
125,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.307692307692307,bidder_8,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
126,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.346153846153846,bidder_9,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
127,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.384615384615385,bidder_10,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
128,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.423076923076923,bidder_11,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
129,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.461538461538462,bidder_12,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
130,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.5,bidder_13,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
131,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.538461538461538,bidder_14,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
132,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.576923076923077,bidder_15,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
133,ZEP INC,,,NEW MOUNTAIN CAPITAL,,04/08/2015,,,,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2.615384615384615,bidder_16,,,1,,S/F,,,,,$/share,1,,,03/15/2014,NDA,,,,,,
