index,TargetName,gvkeyT,DealNumber,Acquirer,gvkeyA,DateAnnounced,DateEffective,DateFiled,FormType,URL,Auction,BidderID,BidderName,bidder_type_financial,bidder_type_strategic,bidder_type_mixed,bidder_type_nonUS,bidder_type_note,bid_value,bid_value_pershare,bid_value_lower,bid_value_upper,bid_value_unit,multiplier,bid_type,bid_date_precise,bid_date_rough,bid_note,all_cash,additional_note,cshoc,comments_1,comments_2,comments_3,source_page,source_quote
47,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-07-01,NA,Target Sale,1,NA,NA,NA,NA,NA,34,"At a July 1, 2013 meeting of our board of directors, Mr. John K. Morgan (""Mr. Morgan""), our President and Chief Executive Officer, summarized the discussions of our board of directors over the previous year regarding our strategic direction and position in the industry. Our board of directors unanimously agreed to proceed with certain initial steps related to exploring our strategic alternatives, including a potential sale of the Company."
48,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,2,BofA Merrill Lynch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-01-28,NA,IB,1,NA,NA,NA,NA,"[hard:source_quote_not_in_page] NFKC-normalized source_quote not a substring of pages[35].content; excerpt: 'our board of directors unanimously approved an engagement letter with BofA Merrill Lynch providing for BofA Merrill Lync...' | [soft:resolved_name_not_observed] §P-R5/§E4: resolved_name='Merrill Lynch, Pierce, Fenner & Smith Incorporated' for 'bidder_01' not in aliases_observed=['BofA Merrill Lynch']",35,our board of directors unanimously approved an engagement letter with BofA Merrill Lynch providing for BofA Merrill Lynch to act as our financial advisor in connection with reviewing our strategic alternatives.
49,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,3,Financial 1,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 25 NDA signers (22 financial buyers contacted; 4 confirmed as IOI submitters on April 14). Bidder type: financial buyer per filing.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date for this placeholder not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers total; this is one of 17 unnamed non-IOI-submitter placeholders",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
50,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,4,Financial 2,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 25 NDA signers (financial buyer).,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date for this placeholder not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers total; this is one of the unnamed placeholders",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
51,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,5,Financial 3,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 25 NDA signers (financial buyer).,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date for this placeholder not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers total; this is one of the unnamed placeholders",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
52,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,6,Financial 4,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 25 NDA signers (financial buyer). One of 4 financial IOI submitters on April 14.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date for this placeholder not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers total; this is one of the unnamed placeholders (financial buyer, IOI submitter April 14)",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
53,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,7,Strategic 1,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 25 NDA signers (the one strategic buyer among IOI submitters on April 14).,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date for this placeholder not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers total; this placeholder represents the one strategic buyer among April 14 IOI submitters | [soft:bidder_type_ambiguous] filing says 'one strategic buyer' submitted IOI on April 14 but does not name or further describe this bidder; public status unknown, defaulting to false",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
54,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,8,Party X,1,0,0,0,F,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,Party X described as 'financial buyer' per filing; contacted BofA Merrill Lynch on unsolicited basis.,NA,NA,NA,[soft:date_inferred_from_context] first narration: contacted BofA Merrill Lynch 'over the next few weeks' after May 7 data room opening; NDA date inferred as prior to May 9 IOI; using mid-March as conservative anchor since Party X approached unsolicited in the 'next few weeks' after April 16 board meeting,37,"two additional parties, comprising one financial party (""Party X"") and one strategic party (""Party Y""), contacted representatives of BofA Merrill Lynch on an unsolicited basis to inquire about the process."
55,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,9,Party Y,0,1,0,0,S,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after April 16, 2014 board meeting)",NDA,1,Party Y described as 'strategic party' per filing; contacted BofA Merrill Lynch on unsolicited basis.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: contacted BofA Merrill Lynch 'over the next few weeks' after April 16 board meeting; NDA date inferred as prior to May 20 IOI; exact date not stated | [soft:bidder_type_ambiguous] filing describes Party Y as 'one strategic party' but does not provide further details; public status unknown, defaulting to false",37,"two additional parties, comprising one financial party (""Party X"") and one strategic party (""Party Y""), contacted representatives of BofA Merrill Lynch on an unsolicited basis to inquire about the process."
56,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,10,Unnamed NDA Signer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_10' signed NDA at row 9 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
57,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,11,Unnamed NDA Signer 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_11' signed NDA at row 10 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
58,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,12,Unnamed NDA Signer 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_12' signed NDA at row 11 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
59,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,13,Unnamed NDA Signer 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_13' signed NDA at row 12 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
60,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,14,Unnamed NDA Signer 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_14' signed NDA at row 13 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
61,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,15,Unnamed NDA Signer 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_15' signed NDA at row 14 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
62,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,16,Unnamed NDA Signer 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_16' signed NDA at row 15 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
63,Zep Inc.,178538,2741377020,"New Mountain Capital, L.L.C.",NA,2015-04-08,NA,2015-05-26,DEFM14A,https://www.sec.gov/Archives/edgar/data/1408287/0001047469-15-004989-index.htm,1,17,Unnamed NDA Signer 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-03-15,"next several weeks (after February 27, 2014)",NDA,1,One of 17 unnamed NDA signers who did not submit an IOI.,NA,NA,NA,"[soft:date_inferred_from_context] first narration: board authorized contacting buyers Feb 27, 2014; NDAs signed 'next several weeks'; exact date not stated | [info:unnamed_count_placeholder] filing states 25 NDA signers; this is one of 17 unnamed non-IOI-submitter placeholders; bidder type unknown | [soft:nda_without_bid_or_drop] bidder_name='bidder_17' signed NDA at row 16 but no follow-up (bid/drop/executed) was extracted",37,"twenty-five potential buyers executed confidentiality agreements with us, received a copy of the marketing materials and/or met with the Company's management."
